TABLE:  Element Forces - Columns,,,,,,,,,,,,,,
Story,Column,Unique Name,Output Case,Case Type,Station,P,V2,V3,T,M2,M3,Element,Elem Station,Location
,,,,,m,kN,kN,kN,kN-m,kN-m,kN-m,,m,
Roof,C133,311,Qk,LinStatic,3.225,-10.9063,-3.0507,-3.9695,0.0245,6.9744,9.1094,311,3.225,
Roof,C133,311,"Qk_Cat.A,B,C,D,F,H",LinStatic,0,-10.9334,-2.9859,-3.9713,0.0262,-5.8268,-0.6369,311,0,
Roof,C133,311,"Qk_Cat.A,B,C,D,F,H",LinStatic,1.6125,-10.9334,-2.9859,-3.9713,0.0262,0.5769,4.1779,311,1.6125,
Roof,C133,311,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,-10.9334,-2.9859,-3.9713,0.0262,6.9806,8.9927,311,3.225,
Roof,C133,311,"Qk_Cat.E,Partition,NR Live",LinStatic,0,0.0272,-0.0647,0.0018,-0.0017,-0.0003,-0.0921,311,0,
Roof,C133,311,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,0.0272,-0.0647,0.0018,-0.0017,-0.0033,0.0123,311,1.6125,
Roof,C133,311,"Qk_Cat.E,Partition,NR Live",LinStatic,3.225,0.0272,-0.0647,0.0018,-0.0017,-0.0063,0.1167,311,3.225,
Roof,C134,312,Gk,LinStatic,0,-73.3062,-32.6775,16.3238,0.1985,10.9528,0.9083,312,0,
Roof,C134,312,Gk,LinStatic,1.6125,-63.5505,-32.6775,16.3238,0.1985,-15.3693,53.6007,312,1.6125,
Roof,C134,312,Gk,LinStatic,3.225,-53.7949,-32.6775,16.3238,0.1985,-41.6913,106.2931,312,3.225,
Roof,C134,312,Qk,LinStatic,0,-4.0842,-3.7306,2.4609,0.0245,3.4742,1.096,312,0,
Roof,C134,312,Qk,LinStatic,1.6125,-4.0842,-3.7306,2.4609,0.0245,-0.494,7.1116,312,1.6125,
Roof,C134,312,Qk,LinStatic,3.225,-4.0842,-3.7306,2.4609,0.0245,-4.4622,13.1272,312,3.225,
Roof,C134,312,"Qk_Cat.A,B,C,D,F,H",LinStatic,0,-4.0671,-3.752,2.457,0.0262,3.4697,1.0306,312,0,
Roof,C134,312,"Qk_Cat.A,B,C,D,F,H",LinStatic,1.6125,-4.0671,-3.752,2.457,0.0262,-0.4922,7.0807,312,1.6125,
Roof,C134,312,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,-4.0671,-3.752,2.457,0.0262,-4.454,13.1307,312,3.225,
Roof,C134,312,"Qk_Cat.E,Partition,NR Live",LinStatic,0,-0.0171,0.0213,0.0039,-0.0017,0.0045,0.0653,312,0,
Roof,C134,312,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,-0.0171,0.0213,0.0039,-0.0017,-0.0018,0.031,312,1.6125,
